Superficie construida,Habitaciones,Baños,Estado,Armarios empotrados,Calefacción,Distrito,Precio,Terraza_Balcon
147.0,3.0,2.0,1.0,0.0,6.0,9.0,480000.0,3.0
234.0,5.0,4.0,1.0,1.0,4.0,8.0,670000.0,3.0
112.0,4.0,2.0,0.0,1.0,7.0,6.0,285000.0,0.0
129.0,3.0,2.0,1.0,0.0,6.0,7.0,560000.0,0.0
143.0,3.0,2.0,1.0,0.0,6.0,5.0,509000.0,3.0
107.0,2.0,2.0,1.0,1.0,5.0,6.0,430000.0,3.0
101.0,2.0,2.0,1.0,0.0,1.0,8.0,279000.0,2.0
132.0,3.0,2.0,1.0,1.0,0.0,12.0,405000.0,2.0
132.0,3.0,2.0,1.0,1.0,0.0,12.0,405000.0,2.0
120.0,4.0,2.0,1.0,1.0,6.0,7.0,320000.0,0.0
103.0,2.0,2.0,1.0,0.0,2.0,7.0,435000.0,3.0
71.0,2.0,2.0,1.0,0.0,0.0,14.0,227500.0,0.0
128.0,3.0,2.0,1.0,1.0,2.0,7.0,455000.0,1.0
102.0,3.0,2.0,1.0,0.0,5.0,7.0,325000.0,0.0
115.0,4.0,2.0,1.0,1.0,0.0,1.0,270000.0,0.0
115.0,4.0,2.0,1.0,1.0,0.0,1.0,270000.0,0.0
217.0,4.0,3.0,1.0,1.0,6.0,5.0,850000.0,3.0
130.0,3.0,2.0,1.0,1.0,6.0,9.0,759000.0,1.0
136.0,4.0,2.0,1.0,0.0,0.0,5.0,430000.0,0.0
208.0,3.0,3.0,1.0,0.0,7.0,14.0,700000.0,2.0
365.0,4.0,4.0,1.0,1.0,6.0,9.0,1325000.0,1.0
136.0,4.0,2.0,0.0,1.0,7.0,5.0,430000.0,0.0
135.0,4.0,2.0,0.0,1.0,7.0,7.0,350000.0,0.0
107.0,4.0,2.0,1.0,0.0,3.0,8.0,159000.0,3.0
224.0,7.0,2.0,0.0,1.0,4.0,9.0,890000.0,1.0
234.0,6.0,3.0,0.0,0.0,7.0,9.0,575000.0,0.0
99.0,2.0,2.0,1.0,1.0,6.0,12.0,182000.0,3.0
210.0,6.0,3.0,1.0,0.0,3.0,7.0,480000.0,3.0
188.0,3.0,2.0,1.0,1.0,0.0,5.0,990000.0,2.0
70.0,3.0,2.0,1.0,0.0,7.0,11.0,175000.0,0.0
125.0,5.0,2.0,0.0,0.0,4.0,10.0,240000.0,3.0
166.0,5.0,3.0,1.0,1.0,2.0,8.0,519000.0,0.0
121.0,4.0,2.0,1.0,1.0,3.0,12.0,360000.0,2.0
130.0,4.0,3.0,1.0,1.0,3.0,4.0,430000.0,3.0
152.0,3.0,2.0,1.0,1.0,6.0,3.0,645000.0,1.0
147.0,4.0,2.0,1.0,1.0,6.0,3.0,599000.0,3.0
95.0,2.0,2.0,1.0,1.0,5.0,7.0,350000.0,3.0
229.0,3.0,4.0,1.0,1.0,7.0,7.0,690000.0,2.0
180.0,4.0,2.0,0.0,1.0,2.0,9.0,760000.0,0.0
112.0,5.0,3.0,1.0,0.0,0.0,6.0,440000.0,0.0
210.0,6.0,3.0,1.0,0.0,0.0,7.0,480000.0,2.0
210.0,4.0,2.0,1.0,1.0,0.0,4.0,500000.0,2.0
360.0,3.0,3.0,1.0,1.0,6.0,4.0,2200000.0,3.0
360.0,3.0,3.0,1.0,1.0,6.0,4.0,2200000.0,3.0
180.0,4.0,3.0,0.0,1.0,0.0,9.0,665000.0,3.0
176.0,4.0,2.0,1.0,1.0,1.0,5.0,1120000.0,2.0
93.0,2.0,2.0,1.0,1.0,3.0,12.0,182000.0,1.0
102.0,2.0,2.0,1.0,1.0,0.0,5.0,900000.0,2.0
132.0,3.0,2.0,1.0,1.0,3.0,10.0,228000.0,3.0
113.0,3.0,2.0,0.0,0.0,3.0,13.0,155000.0,2.0
114.0,2.0,2.0,1.0,1.0,0.0,5.0,435000.0,0.0
215.0,6.0,2.0,0.0,1.0,0.0,5.0,900000.0,0.0
253.0,4.0,2.0,1.0,1.0,4.0,9.0,1100000.0,1.0
74.0,2.0,2.0,0.0,0.0,7.0,15.0,133000.0,2.0
220.0,3.0,3.0,1.0,1.0,0.0,3.0,990000.0,3.0
201.0,5.0,3.0,1.0,1.0,6.0,0.0,680000.0,2.0
